id,region,price,year,manufacturer,model,condition,fuel,transmission,drive;,car_age,log_price,year_bin
7303728291,anchorage / mat-su,27995.0,2011,chevrolet,silverado,,diesel,automatic,4wd;,13,10.23981692180943,2011-2015
7303719196,anchorage / mat-su,28888.0,2019,infiniti,q70,,gas,automatic,4wd;,5,10.271216178807896,2016-2020
7303718963,anchorage / mat-su,22995.0,2014,mazda,mx-5 miata,,gas,automatic,rwd;,10,10.043075566743182,2011-2015
7303718931,anchorage / mat-su,33999.0,2018,bmw,x2 xdrive28i,,gas,other,4wd;,6,10.4341158035983,2016-2020
7303718820,anchorage / mat-su,27995.0,2019,jeep,compass,,gas,automatic,4wd;,5,10.23981692180943,2016-2020
7303718560,anchorage / mat-su,26600.0,2020,jeep,renegade,,gas,other,4wd;,4,10.188704088048116,2016-2020
7303715605,anchorage / mat-su,19991.0,2014,dodge,durango,,gas,automatic,rwd;,10,9.903087472514787,2011-2015
7303698923,anchorage / mat-su,27555.0,2016,ford,flex,,gas,automatic,4wd;,8,10.223975576713087,2016-2020
7303698896,anchorage / mat-su,38983.0,2020,gmc,acadia,,gas,other,4wd;,4,10.570906584523343,2016-2020
7303698718,anchorage / mat-su,41914.0,2019,ram,all-new 1500,,gas,other,4wd;,5,10.643399037071958,2016-2020
7303698595,anchorage / mat-su,25499.0,2019,volkswagen,tiguan,,gas,other,4wd;,5,10.146433731146518,2016-2020
7303698422,anchorage / mat-su,34995.0,2018,ram,1500,,diesel,automatic,4wd;,6,10.462989048226156,2016-2020
7303698194,anchorage / mat-su,29995.0,2018,honda,cr-v,,gas,automatic,4wd;,6,10.30881931842128,2016-2020
7303697227,anchorage / mat-su,30700.0,2017,chevrolet,silverado 1500,,gas,other,4wd;,7,10.332050506334692,2016-2020
7303678279,anchorage / mat-su,17988.0,2017,mini,cooper clubman,,gas,automatic,4wd;,7,9.797515738962685,2016-2020
7303678150,anchorage / mat-su,9996.0,2008,chevrolet,express passenger,,gas,automatic,4wd;,16,9.210040326967182,2001-2010
7303677885,anchorage / mat-su,23999.0,2018,chrysler,300,,gas,automatic,;,6,10.085809109330082,2016-2020
7303677789,anchorage / mat-su,21999.0,2014,ford,explorer,,gas,automatic,4wd;,10,9.998797732340453,2011-2015
7303677636,anchorage / mat-su,10999.0,2009,cadillac,cts,,gas,automatic,;,15,9.305650551780507,2001-2010
7303677539,anchorage / mat-su,6999.0,2007,dodge,caliber,,gas,automatic,fwd;,17,8.85366542803745,2001-2010
7303677300,anchorage / mat-su,12999.0,2013,nissan,rogue,,gas,automatic,;,11,9.472704636443673,2011-2015
7303677125,anchorage / mat-su,43999.0,2015,chevrolet,silverado,,gas,automatic,4wd;,9,10.691944912900398,2011-2015
7303676984,anchorage / mat-su,14999.0,2008,rover,sport,,gas,automatic,4wd;,16,9.615805480084347,2001-2010
7303676822,anchorage / mat-su,12999.0,2012,toyota,rav4,,gas,automatic,4wd;,12,9.472704636443673,2011-2015
7303676632,anchorage / mat-su,5999.0,2007,ford,taurus,,gas,automatic,fwd;,17,8.699514748210191,2001-2010
7303676311,anchorage / mat-su,23932.0,2019,nissan,altima,,gas,automatic,fwd;,5,10.083013538694615,2016-2020
7303676118,anchorage / mat-su,32923.0,2019,jeep,grand cherokee,,gas,other,4wd;,5,10.401957154092534,2016-2020
7303675935,anchorage / mat-su,29992.0,2018,chrysler,pacifica,,gas,other,fwd;,6,10.308719300084501,2016-2020
7303675411,anchorage / mat-su,27499.0,2017,jeep,grand cherokee,,gas,other,4wd;,7,10.221941283654663,2016-2020
7303675318,anchorage / mat-su,17995.0,2016,chevrolet,malibu,,gas,automatic,fwd;,8,9.797904789961063,2016-2020
7303674042,anchorage / mat-su,10995.0,2012,jeep,patriot,,gas,automatic,4wd;,12,9.305286849285137,2011-2015
7303674035,anchorage / mat-su,30499.0,2017,bmw,430i,,gas,other,rwd;,7,10.325481962595504,2016-2020
7303519361,anchorage / mat-su,3000.0,2004,ram,1500,fair,gas,automatic,4wd;,20,8.006700845440367,2001-2010
7303499534,anchorage / mat-su,11995.0,2016,honda,civic lx,good,gas,automatic,fwd;,8,9.392328539868899,2016-2020
7303498724,anchorage / mat-su,26999.0,2013,ford,f150 supercrew cab,,other,automatic,4wd;,11,10.203592144986466,2011-2015
7303498616,anchorage / mat-su,8900.0,2000,ford,f150 super cab,,gas,automatic,4wd;,24,9.093918908958932,<=2000
7303492405,anchorage / mat-su,19900.0,2013,ram,1500,,gas,other,4wd;,11,9.898525260706313,2011-2015
7303487322,anchorage / mat-su,8950.0,2011,toyota,camry xle,excellent,gas,automatic,;,13,9.099520536870939,2011-2015
7303485579,anchorage / mat-su,27900.0,2019,ford,edge,,gas,other,4wd;,5,10.236417809461043,2016-2020
7303477843,anchorage / mat-su,26900.0,2015,lexus,nx 200t,,gas,other,4wd;,9,10.199918739620157,2011-2015
7303469342,anchorage / mat-su,23888.0,2013,ford,f-150,,gas,automatic,4wd;,11,10.081173380925554,2011-2015
7303469276,anchorage / mat-su,29999.0,2014,ram,1500 crew cab,,other,automatic,4wd;,10,10.308952660644293,2011-2015
7303463091,anchorage / mat-su,38995.0,2017,nissan,titan,,gas,automatic,4wd;,7,10.571214355749163,2016-2020
7303459780,anchorage / mat-su,15988.0,2014,chevrolet,equinox,,gas,automatic,fwd;,10,9.67965626478542,2011-2015
7303449571,anchorage / mat-su,17999.0,2020,chevrolet,trax,,gas,automatic,4wd;,4,9.798127036878302,2016-2020
7303435037,anchorage / mat-su,8995.0,2013,hyundai,elantra,excellent,gas,manual,fwd;,11,9.104535313079205,2011-2015
7303425096,anchorage / mat-su,1100.0,2007,honda,accord,,gas,automatic,;,17,7.00397413672268,2001-2010
7303404448,anchorage / mat-su,15995.0,2015,volkswagen,cc r-line,excellent,gas,automatic,fwd;,9,9.680093969966709,2011-2015
7303404401,anchorage / mat-su,55995.0,2019,audi,sq5 prestige awd,excellent,gas,automatic,4wd;,5,10.933035538594716,2016-2020
7303404377,anchorage / mat-su,25995.0,2018,ford,transit,excellent,gas,automatic,fwd;,6,10.16569795901424,2016-2020
7303404331,anchorage / mat-su,52995.0,2020,jeep,grand cherokee summit 4x4,excellent,gas,automatic,4wd;,4,10.877971717988014,2016-2020
7303404301,anchorage / mat-su,19995.0,2017,honda,accord sedan lx,excellent,gas,automatic,fwd;,7,9.903287532533462,2016-2020
7303404268,anchorage / mat-su,34995.0,2017,cadillac,ct6 premium luxury awd,excellent,gas,automatic,4wd;,7,10.462989048226156,2016-2020
7303404176,anchorage / mat-su,28995.0,2020,mazda,cx-5 grand touring awd,excellent,gas,automatic,4wd;,4,10.274913168420769,2016-2020
7303404162,anchorage / mat-su,48995.0,2019,audi,q7 se premium plus,excellent,gas,automatic,4wd;,5,10.799493941107576,2016-2020
7303404095,anchorage / mat-su,52995.0,2016,rover,sport,excellent,gas,automatic,4wd;,8,10.877971717988014,2016-2020
7303404067,anchorage / mat-su,9995.0,2013,chrysler,200 touring,excellent,gas,automatic,fwd;,11,9.209940291954844,2011-2015
7303403844,anchorage / mat-su,25995.0,2015,mercedes-benz,benz gla250 4matic awd,excellent,gas,automatic,4wd;,9,10.16569795901424,2011-2015
7303403812,anchorage / mat-su,22995.0,2019,mazda,6 touring,excellent,gas,automatic,fwd;,5,10.043075566743182,2016-2020
7303403742,anchorage / mat-su,24995.0,2015,audi,s3,excellent,gas,automatic,4wd;,9,10.126471091048971,2011-2015
7303403722,anchorage / mat-su,21995.0,2012,volkswagen,touareg lux 4x4,excellent,diesel,automatic,4wd;,12,9.998615897627705,2011-2015
7303400425,anchorage / mat-su,12499.0,2009,honda,odyssey,,gas,automatic,fwd;,15,9.433483923290392,2001-2010
7303393333,anchorage / mat-su,29995.0,2014,chevrolet,silverado,,other,automatic,4wd;,10,10.30881931842128,2011-2015
7303386402,anchorage / mat-su,16995.0,2013,honda,odyssey,,gas,automatic,fwd;,11,9.740733301234702,2011-2015
7303379352,anchorage / mat-su,10995.0,2002,chevrolet,astro van,,gas,automatic,4wd;,22,9.305286849285137,2001-2010
7303373703,anchorage / mat-su,6200.0,2009,honda,accord ex-l,good,gas,automatic,fwd;,15,8.732465848349879,2001-2010
7303371899,anchorage / mat-su,20995.0,2015,gmc,acadia,,gas,automatic,;,9,9.95208722237219,2011-2015
7303361638,anchorage / mat-su,39995.0,2016,ram,2500,,diesel,automatic,4wd;,8,10.59653472809574,2016-2020
7303360697,anchorage / mat-su,24500.0,2014,gmc,sierra 1500,like new,gas,automatic,;,10,10.106469212026385,2011-2015
7303358336,anchorage / mat-su,13999.0,2016,mazda,mazda3,,gas,automatic,fwd;,8,9.546812608597396,2016-2020
7303350931,anchorage / mat-su,32995.0,2017,ram,1500,,gas,automatic,fwd;,7,10.404141620980623,2016-2020
7303348492,anchorage / mat-su,13995.0,2017,hyundai,sonata 2.4l,excellent,gas,automatic,fwd;,7,9.54652685348758,2016-2020
7303346490,anchorage / mat-su,19995.0,2018,volkswagen,golf s,excellent,gas,automatic,4wd;,6,9.903287532533462,2016-2020
7303343331,anchorage / mat-su,19200.0,2017,dodge,charger,good,gas,automatic,4wd;,7,9.862717639992917,2016-2020
7303341172,anchorage / mat-su,26991.0,2020,ford,fusion,,gas,automatic,4wd;,4,10.20329580478575,2016-2020
7303339593,anchorage / mat-su,25995.0,2013,ford,f-150,,gas,automatic,4wd;,11,10.16569795901424,2011-2015
7303328102,anchorage / mat-su,10995.0,2004,chevrolet,express,,gas,automatic,fwd;,20,9.305286849285137,2001-2010
7303327901,anchorage / mat-su,17999.0,2016,jeep,cherokee latitude,good,gas,automatic,4wd;,8,9.798127036878302,2016-2020
7303326501,anchorage / mat-su,64995.0,2017,ford,f-450 dually lariat,excellent,diesel,automatic,4wd;,7,11.082081008522668,2016-2020
7303326503,anchorage / mat-su,20999.0,2019,hyundai,tucson se awd,excellent,gas,automatic,4wd;,5,9.95227771670556,2016-2020
7303326079,anchorage / mat-su,15999.0,2018,hyundai,elantra se,excellent,gas,automatic,fwd;,6,9.680344001221918,2016-2020
7303325544,anchorage / mat-su,26999.0,2013,ford,e 350,good,gas,automatic,rwd;,11,10.203592144986466,2011-2015
7303323914,anchorage / mat-su,27999.0,2019,chrysler,300 awd,excellent,gas,automatic,4wd;,5,10.239959789157341,2016-2020
7303323407,anchorage / mat-su,29500.0,2015,chevrolet,silverado,excellent,gas,automatic,4wd;,9,10.292179440058462,2011-2015
7303322816,anchorage / mat-su,22500.0,2019,chevrolet,equinox ls awd,excellent,gas,automatic,4wd;,5,10.021315031649332,2016-2020
7303322152,anchorage / mat-su,37999.0,2017,cadillac,xt5 platinum awd,like new,gas,automatic,4wd;,7,10.545341438708522,2016-2020
7303306508,anchorage / mat-su,9999.0,2010,subaru,impreza,,gas,automatic,;,14,9.210340371976184,2001-2010
7303305251,anchorage / mat-su,22995.0,2012,chevrolet,tahoe,,other,automatic,4wd;,12,10.043075566743182,2011-2015
7303302748,anchorage / mat-su,24499.0,2019,buick,encore essence awd,like new,gas,automatic,4wd;,5,10.106428396532818,2016-2020
7303302234,anchorage / mat-su,24999.0,2016,audi,a4 premium plus awd,excellent,gas,automatic,4wd;,8,10.126631103850338,2016-2020
7303301718,anchorage / mat-su,11999.0,2015,fiat,500l pop hatchback,excellent,gas,automatic,fwd;,9,9.392661928770137,2011-2015
7303300632,anchorage / mat-su,8500.0,2007,ford,f250,excellent,gas,automatic,4wd;,17,9.04793908261736,2001-2010
7303292173,anchorage / mat-su,23995.0,2013,ford,f-150,,other,automatic,4wd;,11,10.085642428772983,2011-2015
7303287434,anchorage / mat-su,21991.0,2020,kia,soul,,gas,automatic,fwd;,4,9.998434029845082,2016-2020
7303287402,anchorage / mat-su,23995.0,2013,ford,f-150,,other,automatic,4wd;,11,10.085642428772983,2011-2015
7303272137,anchorage / mat-su,26995.0,2016,ford,f-150,,gas,automatic,4wd;,8,10.203443985863297,2016-2020
7303269726,anchorage / mat-su,17999.0,2012,toyota,rav4,,gas,automatic,4wd;,12,9.798127036878302,2011-2015
7303269334,anchorage / mat-su,18991.0,2020,kia,forte,,gas,automatic,fwd;,4,9.851773116849449,2016-2020
7303263197,anchorage / mat-su,18999.0,2014,chevrolet,tahoe lt 4x4,good,gas,automatic,4wd;,10,9.852194258148577,2011-2015
7303259778,anchorage / mat-su,18495.0,2013,dodge,durango,,gas,automatic,;,11,9.825309771472105,2011-2015
7303243211,anchorage / mat-su,9995.0,2013,honda,civic,,gas,automatic,;,11,9.209940291954844,2011-2015
7303233743,anchorage / mat-su,11700.0,2015,kia,sorento,,gas,other,4wd;,9,9.367429587218957,2011-2015
7303232535,anchorage / mat-su,17999.0,2017,hyundai,sonata,,gas,automatic,fwd;,7,9.798127036878302,2016-2020
7303229280,anchorage / mat-su,31995.0,2010,chevrolet,silverado,,gas,automatic,4wd;,14,10.373366173968712,2001-2010
7303216634,anchorage / mat-su,29100.0,2017,chevrolet,colorado,,gas,other,4wd;,7,10.278527816830314,2016-2020
7303215176,anchorage / mat-su,30550.0,2017,mercedes-benz,c 300,,gas,automatic,4wd;,7,10.327152697288243,2016-2020
7303213848,anchorage / mat-su,20991.0,2017,kia,niro,,hybrid,automatic,fwd;,7,9.951896691743816,2016-2020
7303203511,anchorage / mat-su,31995.0,2013,chevrolet,silverado,,diesel,automatic,4wd;,11,10.373366173968712,2011-2015
7303192332,anchorage / mat-su,36687.0,2017,toyota,tacoma,,gas,automatic,4wd;,7,10.510205005097685,2016-2020
7303192173,anchorage / mat-su,9800.0,2014,volkswagen,jetta,,gas,other,fwd;,10,9.19023970026918,2011-2015
7303190249,anchorage / mat-su,11991.0,2015,kia,rio,,gas,automatic,fwd;,9,9.391995039782433,2011-2015
7303176120,anchorage / mat-su,39993.0,2018,chevrolet,silverado 1500,,gas,other,4wd;,6,10.596484721844948,2016-2020
7303175726,anchorage / mat-su,33888.0,2014,chevrolet,silverado 1500,,gas,automatic,4wd;,10,10.43084575693648,2011-2015
7303175676,anchorage / mat-su,37973.0,2017,ford,f-150,,gas,automatic,4wd;,7,10.544656994003361,2016-2020
7303171203,anchorage / mat-su,6500.0,2017,fiat,500,,gas,other,fwd;,7,8.77971129020447,2016-2020
7303158795,anchorage / mat-su,1100.0,2005,chevrolet,trailblazer,good,gas,automatic,4wd;,19,7.00397413672268,2001-2010
7303153735,anchorage / mat-su,37500.0,2016,ram,3500,good,gas,automatic,4wd;,8,10.53212287826962,2016-2020
7303150623,anchorage / mat-su,17974.0,2018,chevrolet,cruze,,gas,other,fwd;,6,9.796737182589247,2016-2020
7303150537,anchorage / mat-su,8998.0,2015,jeep,compass,,gas,other,4wd;,9,9.104868739033948,2011-2015
7303150370,anchorage / mat-su,26962.0,2014,ram,1500,,gas,other,4wd;,10,10.202220834799924,2011-2015
7303150146,anchorage / mat-su,15951.0,2012,gmc,acadia,,gas,other,4wd;,12,9.67733949220162,2011-2015
7303077641,anchorage / mat-su,14999.0,2011,ford,edge,,gas,automatic,;,13,9.615805480084347,2011-2015
7303077484,anchorage / mat-su,21999.0,2014,toyota,rav4,,gas,automatic,;,10,9.998797732340453,2011-2015
7303001537,anchorage / mat-su,14995.0,2008,ford,f350,fair,diesel,automatic,4wd;,16,9.615538777855802,2001-2010
7302980686,anchorage / mat-su,47500.0,2016,bmw,x5 m,good,gas,automatic,;,8,10.768506042432708,2016-2020
7302915665,anchorage / mat-su,21194.0,2017,nissan,pathfinder,,gas,automatic,4wd;,7,9.961520583786738,2016-2020
7302915521,anchorage / mat-su,14194.0,2017,chevrolet,cruze,,gas,other,fwd;,7,9.560645068907071,2016-2020
7302915219,anchorage / mat-su,26995.0,2013,chevrolet,silverado 1500,,,automatic,4wd;,11,10.203443985863297,2011-2015
7302900513,anchorage / mat-su,54000.0,2018,tesla,s,excellent,electric,automatic,4wd;,6,10.896757843893464,2016-2020
7302864841,anchorage / mat-su,20995.0,2018,kia,sportage,,gas,automatic,4wd;,6,9.95208722237219,2016-2020
7302857796,anchorage / mat-su,10995.0,2011,ford,expedition,,other,automatic,4wd;,13,9.305286849285137,2011-2015
7302850573,anchorage / mat-su,24995.0,2007,chevrolet,silverado,,gas,automatic,4wd;,17,10.126471091048971,2001-2010
7302849789,anchorage / mat-su,24995.0,2020,toyota,camry se,excellent,gas,automatic,fwd;,4,10.126471091048971,2016-2020
7302849748,anchorage / mat-su,9495.0,2012,chevrolet,volt hatchback,excellent,hybrid,automatic,fwd;,12,9.158625936289503,2011-2015
7302849716,anchorage / mat-su,25995.0,2019,subaru,crosstrek,excellent,gas,automatic,4wd;,5,10.16569795901424,2016-2020
7302849686,anchorage / mat-su,34995.0,2017,mercedes-benz,e300,excellent,gas,automatic,4wd;,7,10.462989048226156,2016-2020
7302849617,anchorage / mat-su,19995.0,2014,cadillac,xts platinum,excellent,gas,automatic,4wd;,10,9.903287532533462,2011-2015
7302849553,anchorage / mat-su,26995.0,2018,honda,accord,excellent,gas,automatic,fwd;,6,10.203443985863297,2016-2020
7302849525,anchorage / mat-su,37995.0,2017,bmw,x4 m-sport awd,excellent,gas,automatic,4wd;,7,10.545236170010073,2016-2020
7302840343,anchorage / mat-su,24995.0,2013,ford,f-250,,other,automatic,4wd;,11,10.126471091048971,2011-2015
7302829943,anchorage / mat-su,39995.0,2015,ram,2500,,gas,automatic,4wd;,9,10.59653472809574,2011-2015
7302818764,anchorage / mat-su,21995.0,2014,ford,f-150,,other,automatic,4wd;,10,9.998615897627705,2011-2015
7302807399,anchorage / mat-su,27995.0,2013,ford,f-150,,other,automatic,4wd;,11,10.23981692180943,2011-2015
7302795765,anchorage / mat-su,9995.0,2007,honda,cr-v,,gas,automatic,4wd;,17,9.209940291954844,2001-2010
7302782957,anchorage / mat-su,10995.0,2014,chevrolet,cruze,,gas,automatic,;,10,9.305286849285137,2011-2015
7302778352,anchorage / mat-su,22995.0,2015,mercedes-benz,glk350,excellent,gas,automatic,4wd;,9,10.043075566743182,2011-2015
7302776029,anchorage / mat-su,39995.0,2020,acura,mdx,like new,gas,automatic,fwd;,4,10.59653472809574,2016-2020
7302766920,anchorage / mat-su,26995.0,2020,kia,sportage ex,excellent,gas,automatic,4wd;,4,10.203443985863297,2016-2020
7302764403,anchorage / mat-su,19500.0,2012,jeep,wrangler sport,good,gas,automatic,4wd;,12,9.87822102528824,2011-2015
7302762278,anchorage / mat-su,25995.0,2016,honda,cr-v,,gas,automatic,fwd;,8,10.16569795901424,2016-2020
7302746931,anchorage / mat-su,18995.0,2018,nissan,rogue,,gas,automatic,fwd;,6,9.851983709669012,2016-2020
7302733973,anchorage / mat-su,25999.0,2014,ford,f-150 stx,good,gas,automatic,4wd;,10,10.165851817003619,2011-2015
7302731369,anchorage / mat-su,14995.0,2014,honda,cr-v,,gas,automatic,;,10,9.615538777855802,2011-2015
7302714941,anchorage / mat-su,22995.0,2019,dodge,journey,,gas,automatic,;,5,10.043075566743182,2016-2020
7302698392,anchorage / mat-su,20995.0,2019,dodge,grand caravan,,other,automatic,fwd;,5,9.95208722237219,2016-2020
7302682068,anchorage / mat-su,26995.0,2014,gmc,sierra,,other,automatic,4wd;,10,10.203443985863297,2011-2015
7302453858,anchorage / mat-su,34995.0,2015,chevrolet,silverado 1500,like new,gas,automatic,4wd;,9,10.462989048226156,2011-2015
7302453846,anchorage / mat-su,9995.0,2012,chevrolet,malibu,like new,gas,automatic,fwd;,12,9.209940291954844,2011-2015
7302453825,anchorage / mat-su,16995.0,2016,dodge,journey sxt,like new,gas,automatic,;,8,9.740733301234702,2016-2020
7302453816,anchorage / mat-su,13995.0,2016,dodge,journey se,like new,gas,automatic,;,8,9.54652685348758,2016-2020
7302453809,anchorage / mat-su,14995.0,2016,fiat,500x,like new,gas,automatic,fwd;,8,9.615538777855802,2016-2020
7302453802,anchorage / mat-su,19995.0,2004,harley-davidson,davidson,excellent,diesel,automatic,4wd;,20,9.903287532533462,2001-2010
7302453793,anchorage / mat-su,37995.0,2015,ford,f150 lariat supercrew 4x4,like new,gas,automatic,4wd;,9,10.545236170010073,2011-2015
7302453777,anchorage / mat-su,39995.0,2017,ford,f-250,like new,gas,automatic,4wd;,7,10.59653472809574,2016-2020
7302350057,anchorage / mat-su,24995.0,2015,bmw,328i gt xdrive awd,excellent,gas,automatic,4wd;,9,10.126471091048971,2011-2015
7302349882,anchorage / mat-su,33995.0,2018,bmw,330i gt m-sport awd,excellent,gas,automatic,4wd;,6,10.433998149618517,2016-2020
7302349793,anchorage / mat-su,16425.0,2019,chevrolet,cruze lt hatchback,excellent,gas,automatic,fwd;,5,9.706620724300137,2016-2020
7302349775,anchorage / mat-su,19995.0,2019,buick,encore,excellent,gas,automatic,4wd;,5,9.903287532533462,2016-2020
7302349736,anchorage / mat-su,25995.0,2014,lexus,is350,excellent,gas,automatic,4wd;,10,10.16569795901424,2011-2015
7302349688,anchorage / mat-su,48995.0,2014,rover,sc,excellent,gas,automatic,4wd;,10,10.799493941107576,2011-2015
7302349554,anchorage / mat-su,16995.0,2017,kia,soul !,excellent,gas,automatic,fwd;,7,9.740733301234702,2016-2020
7302349524,anchorage / mat-su,41995.0,2020,subaru,wrx sti,excellent,gas,manual,4wd;,4,10.645329654634832,2016-2020
7302349498,anchorage / mat-su,16995.0,2017,jeep,renegade sport 4x4,excellent,gas,automatic,4wd;,7,9.740733301234702,2016-2020
7302349359,anchorage / mat-su,31995.0,2016,bmw,x5 xdrive40e awd,excellent,hybrid,automatic,4wd;,8,10.373366173968712,2016-2020
7302349327,anchorage / mat-su,26995.0,2017,audi,q5 premium plus awd,excellent,gas,automatic,4wd;,7,10.203443985863297,2016-2020
7302349298,anchorage / mat-su,49995.0,2019,lincoln,nautilus black label,excellent,gas,automatic,4wd;,5,10.819698281210112,2016-2020
7302349138,anchorage / mat-su,23995.0,2018,mazda,6 grand touring,excellent,gas,automatic,fwd;,6,10.085642428772983,2016-2020
7302347350,anchorage / mat-su,20995.0,2019,dodge,grand caravan,,other,automatic,fwd;,5,9.95208722237219,2016-2020
7302340265,anchorage / mat-su,18995.0,2019,dodge,grand caravan,,other,automatic,fwd;,5,9.851983709669012,2016-2020
7302330523,anchorage / mat-su,18995.0,2016,nissan,rogue,,gas,automatic,fwd;,8,9.851983709669012,2016-2020
7302320159,anchorage / mat-su,19995.0,2018,jeep,cherokee,,gas,automatic,fwd;,6,9.903287532533462,2016-2020
7302309618,anchorage / mat-su,29995.0,2019,nissan,pathfinder,,gas,automatic,4wd;,5,10.30881931842128,2016-2020
7302306702,anchorage / mat-su,36975.0,2016,ford,f150 xlt 4x4,,gas,automatic,;,8,10.518024332514162,2016-2020
7302298246,anchorage / mat-su,22995.0,2016,honda,odyssey,,gas,automatic,fwd;,8,10.043075566743182,2016-2020
7302291752,anchorage / mat-su,11995.0,2008,toyota,tundra crewmax,,gas,automatic,4wd;,16,9.392328539868899,2001-2010
7302287974,anchorage / mat-su,40475.0,2018,chevrolet,silverado 1500 lt,,gas,automatic,;,6,10.60846448484965,2016-2020
7302284982,anchorage / mat-su,25475.0,2019,chevrolet,equinox lt,,gas,automatic,;,5,10.145492111491256,2016-2020
7302282948,anchorage / mat-su,56475.0,2018,tesla,model s 75d,,electric,automatic,;,6,10.941571048129415,2016-2020
7302275036,anchorage / mat-su,31995.0,2019,toyota,highlander,,gas,automatic,4wd;,5,10.373366173968712,2016-2020
7302264175,anchorage / mat-su,56975.0,2019,ram,1500 longhorn,,gas,automatic,;,5,10.95038540551756,2016-2020
7302262961,anchorage / mat-su,22995.0,2014,chevrolet,silverado,,other,automatic,4wd;,10,10.043075566743182,2011-2015
7302261064,anchorage / mat-su,31475.0,2020,hyundai,santa fe,,gas,automatic,;,4,10.356980629654874,2016-2020
7302250473,anchorage / mat-su,30995.0,2015,ford,f-150,,other,automatic,4wd;,9,10.34161344288384,2011-2015
7302246780,anchorage / mat-su,36975.0,2019,jeep,grand cherokee limited 4x4,,gas,automatic,;,5,10.518024332514162,2016-2020
7302238458,anchorage / mat-su,29995.0,2017,jeep,grand cherokee,,gas,automatic,4wd;,7,10.30881931842128,2016-2020
7302229473,anchorage / mat-su,34500.0,2019,dodge,charger,,gas,automatic,;,5,10.448743588106625,2016-2020
7302225681,anchorage / mat-su,5500.0,1991,chevrolet,gmt-400,,gas,manual,fwd;,33,8.612685172875459,<=2000
7302219481,anchorage / mat-su,31995.0,2020,toyota,rav4,,gas,automatic,4wd;,4,10.373366173968712,2016-2020
7302217439,anchorage / mat-su,28700.0,2016,jeep,grand cherokee,,diesel,automatic,4wd;,8,10.264687244346277,2016-2020
7302211978,anchorage / mat-su,26495.0,2015,dodge,charger,,gas,automatic,;,9,10.184749057184986,2011-2015
7302202870,anchorage / mat-su,26495.0,2015,dodge,charger,,gas,automatic,;,9,10.184749057184986,2011-2015
7302185991,anchorage / mat-su,9995.0,2013,honda,civic,,gas,automatic,;,11,9.209940291954844,2011-2015
7302184210,anchorage / mat-su,8200.0,2010,dodge,charger,excellent,gas,automatic,rwd;,14,9.012011377036412,2001-2010
7302169112,anchorage / mat-su,31995.0,2013,chevrolet,silverado,,diesel,automatic,4wd;,11,10.373366173968712,2011-2015
7302057392,anchorage / mat-su,45988.0,2018,ford,f-150,,gas,automatic,4wd;,6,10.736157516440208,2016-2020
7301944985,anchorage / mat-su,6000.0,2013,kia,soul,excellent,gas,automatic,fwd;,11,8.699681400989514,2011-2015
7301933552,anchorage / mat-su,1700.0,2009,toyota,camry hybrid,good,gas,automatic,fwd;,15,7.438971592395862,2001-2010
7301933067,anchorage / mat-su,1700.0,2009,toyota,camry hybrid,good,gas,automatic,fwd;,15,7.438971592395862,2001-2010
7301842154,anchorage / mat-su,58500.0,2020,toyota,tundra,like new,gas,automatic,4wd;,4,10.97679912709094,2016-2020
7301754635,anchorage / mat-su,28995.0,2020,hyundai,santa fe,,gas,automatic,;,4,10.274913168420769,2016-2020
7301754606,anchorage / mat-su,15995.0,2013,bmw,x5,,gas,automatic,;,11,9.680093969966709,2011-2015
7301754574,anchorage / mat-su,10495.0,2016,ford,c-max hybrid,,hybrid,automatic,fwd;,8,9.25874951118387,2016-2020
7301754541,anchorage / mat-su,19995.0,2013,jeep,wrangler,,gas,automatic,4wd;,11,9.903287532533462,2011-2015
7301754515,anchorage / mat-su,13995.0,2014,mini,paceman,,gas,manual,;,10,9.54652685348758,2011-2015
7301742154,anchorage / mat-su,34900.0,2015,jaguar,xjl portfolio,,other,automatic,rwd;,9,10.460270761075149,2011-2015
7301742102,anchorage / mat-su,26900.0,2014,mercedes-benz,e 350,,gas,automatic,rwd;,10,10.199918739620157,2011-2015
7301742033,anchorage / mat-su,39900.0,2017,rover,evoque convertible hse dynamic,,gas,automatic,4wd;,7,10.594156665220533,2016-2020
7301741980,anchorage / mat-su,14900.0,1985,toyota,celica gt-s convertible,,gas,automatic,rwd;,39,9.60918360377546,<=2000
7301656000,anchorage / mat-su,40988.0,2019,ford,f-150,,gas,automatic,4wd;,5,10.621059017006598,2016-2020
7316836640,fairbanks,59000.0,2019,chevrolet,camaro zl1,new,gas,automatic,rwd;,5,10.985309671896763,2016-2020
7316835433,fairbanks,21999.0,2015,volvo,xc60,,gas,automatic,;,9,9.998797732340453,2011-2015
7316812468,fairbanks,18500.0,2012,bmw,x6 35i,excellent,gas,automatic,4wd;,12,9.825580063659602,2011-2015
7316810443,fairbanks,3995.0,1984,chevrolet,k5 blazer,good,gas,automatic,4wd;,40,8.293049139768444,<=2000
7316804443,fairbanks,19500.0,2005,ford,f350,,diesel,automatic,;,19,9.87822102528824,2001-2010
7316470928,fairbanks,15000.0,2003,gmc,sierra 2500hd,good,diesel,automatic,;,21,9.61587214452889,2001-2010
7316439243,fairbanks,14200.0,2012,toyota,rav4,excellent,gas,automatic,4wd;,12,9.561067663645012,2011-2015
