id,region,price,year,manufacturer,model,condition,fuel,transmission,drive;,car_age,log_price,year_bin
7311310782,auburn,37590.0,2019,ford,f150 supercrew cab xl,good,gas,other,;,5,10.534519939024273,2016-2020
7310905283,auburn,25990.0,2015,lexus,nx 300h sport utility 4d,good,other,other,;,9,10.165505603232393,2011-2015
7310848060,auburn,32990.0,2018,jaguar,e-pace p250 s sport,good,other,other,;,6,10.403990075979044,2016-2020
7310803539,auburn,28990.0,2020,buick,encore gx essence sport,good,gas,other,;,4,10.274740715974103,2016-2020
7310798664,auburn,34990.0,2020,lexus,nx 300 sport utility 4d,good,gas,other,fwd;,4,10.462846164547514,2016-2020
7310644616,auburn,3000.0,2004,chrysler,town & country,good,gas,automatic,fwd;,20,8.006700845440367,2001-2010
7310383361,auburn,22590.0,2016,volvo,s60 t5 cross country,good,gas,other,;,8,10.025306875857222,2016-2020
7310332383,auburn,36990.0,2019,volvo,s60 t6 inscription sedan,good,gas,other,;,5,10.518429918794682,2016-2020
7310308166,auburn,31990.0,2020,volvo,s60 t5 momentum sedan 4d,good,gas,other,fwd;,4,10.373209892223665,2016-2020
7310276274,auburn,28590.0,2019,volvo,s60 t5 momentum sedan 4d,good,gas,other,fwd;,5,10.260847261969445,2016-2020
7309876037,auburn,31990.0,2018,audi,q5 premium sport utility 4d,good,gas,other,;,6,10.373209892223665,2016-2020
7309828117,auburn,19990.0,2015,infiniti,qx60 3.5 sport utility,good,other,other,;,9,9.903037451255743,2011-2015
7309827921,auburn,29590.0,2017,lincoln,continental select sedan,good,gas,other,;,7,10.295225540024292,2016-2020
7309828053,auburn,29990.0,2018,alfa-romeo,romeo stelvio ti sport,good,other,other,;,6,10.30865261563529,2016-2020
7309798041,auburn,2100.0,2006,subaru,impreza,fair,gas,automatic,;,18,7.650168700845001,2001-2010
7309271051,auburn,20590.0,2013,acura,mdx sport utility 4d,good,gas,other,;,11,9.932609366108146,2011-2015
7309229548,auburn,29590.0,2018,audi,a6 2.0t premium sedan 4d,good,gas,other,fwd;,6,10.295225540024292,2016-2020
7309192232,auburn,16590.0,2015,hyundai,sonata sport sedan 4d,good,gas,other,fwd;,9,9.716615658643356,2011-2015
7308779719,auburn,33990.0,2017,ram,1500 crew cab tradesman,good,gas,other,4wd;,7,10.43385106267516,2016-2020
7308779686,auburn,36590.0,2019,gmc,sierra 1500 limited double,good,gas,other,4wd;,5,10.507557587511348,2016-2020
7308745779,auburn,29590.0,2013,gmc,sierra 1500 extended cab slt,good,gas,other,;,11,10.295225540024292,2011-2015
7308730136,auburn,40590.0,2019,ford,f250 super duty regular cab,good,other,other,4wd;,5,10.61130164613947,2016-2020
7308365829,auburn,33990.0,2018,jeep,wrangler unlimited willys,good,gas,other,4wd;,6,10.43385106267516,2016-2020
7308255063,auburn,43990.0,2019,jeep,wrangler unlimited sahara,good,gas,other,4wd;,5,10.691740346523579,2016-2020
7308217002,auburn,38990.0,2017,jeep,wrangler unlimited rubicon,good,gas,other,4wd;,7,10.571086129249698,2016-2020
7308216849,auburn,39590.0,2018,jeep,wrangler unlimited all new,good,gas,other,4wd;,6,10.586357098684939,2016-2020
7307730503,auburn,9500.0,2003,chrysler,town & country,excellent,gas,automatic,fwd;,21,9.15915233520675,2001-2010
7307218858,auburn,28590.0,2018,gmc,acadia sle-2 sport utility,good,gas,other,fwd;,6,10.260847261969445,2016-2020
